firma_id,il,kasaba,toplam_varliklar(€),ozkaynaklar(€),net_ciro(€),faaliyet_karı(€),kredi_bakiyesi(€),temerrut_durumu,pd,lgd,ead(€),ecl(€),rwa(€),overdraft_limit(€),geciken_taksit_sayisi,erken_uyari_seviye,tarih
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.026,0.32,689213.8204469722,5734.258986118808,5710994.362522163,87319.39306677005,2,2,2024-01-01
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.018,0.55,691692.1171944169,6847.7519602247285,6699209.429657982,87319.39306677005,2,1,2024-01-31
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.053,0.33,683969.8570043116,11962.632799005409,4803493.945716566,87319.39306677005,2,1,2024-03-01
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.079,0.57,674354.1338029768,30366.16664514804,3794783.379219805,87319.39306677005,2,1,2024-03-31
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.033,0.6,671375.7311728881,13293.239477223186,4244474.675911342,87319.39306677005,2,2,2024-04-30
1,NA,Napoli,7370220.197272962,2397522.0266131735,339898.2611584426,22334.660814220522,599277.4353922076,0,0.047,0.37,729875.6232694051,12692.537088654954,2265204.371292676,87319.39306677005,2,3,2024-05-30
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.014,0.38,877741.9280740131,4669.5870573537495,893346.1087664339,2277.815570118206,4,1,2024-01-01
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.09,0.35,876767.8799200817,27618.188217482573,961352.6790947515,2277.815570118206,4,1,2024-01-31
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.083,0.44,877079.4170091448,32030.94030917397,1355545.9247681268,2277.815570118206,4,2,2024-03-01
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.064,0.51,877638.5298565152,28646.121614516658,929971.9407330164,2277.815570118206,4,4,2024-03-31
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.061,0.29,877700.2308604814,15526.517083921914,1103743.544619318,2277.815570118206,4,1,2024-04-30
2,NA,Napoli,1576494.1768034005,1058702.8081682539,3108761.221239175,7940.353298786194,875136.2059658081,0,0.061,0.51,877467.3255429746,27298.00849764194,723202.2593334087,2277.815570118206,4,2,2024-05-30
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.052,0.39,244950.2990727601,4967.592065195575,792491.9805819021,39283.99864735381,3,1,2024-01-01
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.007,0.23,252456.7542527761,406.45537434696956,621750.625969092,39283.99864735381,3,3,2024-01-31
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.096,0.22,233763.14274665542,4937.077574809362,295461.0184086761,39283.99864735381,3,1,2024-03-01
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.065,0.22,267074.5281474291,3819.1657525082364,794379.1114907002,39283.99864735381,3,1,2024-03-31
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.018,0.25,234756.088809519,1056.4023996428355,592083.8690140437,39283.99864735381,3,1,2024-04-30
3,RM,Roma,893046.6934350622,415356.2161599418,858665.45407218,-38349.960956400544,210271.0096666216,0,0.099,0.47,267192.7642309378,12432.479319665537,357030.77010039083,39283.99864735381,3,1,2024-05-30
4,TO,Torino,5591844.852495307,1375900.4744550951,70727.84595839144,7152.728289962409,645401.321633421,0,0.003,0.33,673614.0474715023,666.8779069967873,2062814.4123798516,41668.092189961564,0,4,2024-01-01
